,ano,estado,name,total
0,2015,AC,JOÃO MIGUEL,126
1,2015,AC,JOÃO LUCAS,111
2,2015,AC,ANA CLARA,96
3,2015,AC,MARIA EDUARDA,85
4,2015,AC,PEDRO HENRIQUE,81
5,2015,AC,MARIA CLARA,73
6,2015,AC,JOÃO PEDRO,64
7,2015,AC,ANA BEATRIZ,51
8,2015,AC,DAVI LUIZ,49
9,2015,AC,DAVI LUCAS,43
10,2015,AC,ENZO GABRIEL,41
11,2015,AC,ANA JÚLIA,40
12,2015,AC,MARIA VITÓRIA,37
13,2015,AC,CARLOS EDUARDO,32
14,2015,AC,ANA VITÓRIA,32
15,2015,AC,JOÃO GABRIEL,32
16,2015,AC,ANA SOPHIA,30
17,2015,AC,MARIA LUIZA,28
18,2015,AC,PEDRO LUCAS,27
19,2015,AC,LUIZ GUSTAVO,23
20,2015,AC,ANA JULIA,23
21,2015,AC,JOÃO VICTOR,23
22,2015,AC,VICTOR HUGO,22
23,2015,AC,MARIA FERNANDA,22
24,2015,AC,ANA SOFIA,22
25,2015,AC,ANA LUIZA,22
26,2015,AC,LUIZ HENRIQUE,22
27,2015,AC,ARTHUR MIGUEL,21
28,2015,AC,JOÃO GUILHERME,18
29,2015,AC,ANA PAULA,17
30,2015,AC,PEDRO MIGUEL,16
31,2015,AC,LUCAS GABRIEL,15
32,2015,AC,JOÃO VITOR,15
33,2015,AC,MARIA ALICE,15
34,2015,AC,LUIZ FELIPE,15
35,2015,AC,PAULO HENRIQUE,15
36,2015,AC,CARLOS DANIEL,15
37,2015,AC,MARIA VALENTINA,15
38,2015,AC,LUIZ MIGUEL,15
39,2015,AC,ANA ALICE,14
40,2015,AC,ANA LÍVIA,13
41,2015,AC,MARIA ISIS,13
42,2015,AC,LUIZ FERNANDO,13
43,2015,AC,PAULO VITOR,12
44,2015,AC,MARCOS VINICIUS,12
45,2015,AC,JOÃO PAULO,12
46,2015,AC,ANA LAURA,12
47,2015,AC,JOSÉ PEDRO,12
48,2015,AC,LUIZ GUILHERME,11
49,2015,AC,DAVI LUCCA,11
50,2016,AC,JOÃO MIGUEL,154
51,2016,AC,ENZO GABRIEL,76
52,2016,AC,PEDRO HENRIQUE,72
53,2016,AC,JOÃO LUCAS,48
54,2016,AC,ANA CLARA,47
55,2016,AC,ANA BEATRIZ,47
56,2016,AC,MARIA EDUARDA,46
57,2016,AC,JOÃO PEDRO,42
58,2016,AC,JOÃO GUILHERME,37
59,2016,AC,MARIA CLARA,37
60,2016,AC,ANA VITÓRIA,35
61,2016,AC,DAVI LUCAS,35
62,2016,AC,ANA JÚLIA,34
63,2016,AC,DAVI LUIZ,29
64,2016,AC,MARIA VITÓRIA,28
65,2016,AC,JOÃO GABRIEL,26
66,2016,AC,MARIA VALENTINA,26
67,2016,AC,CARLOS EDUARDO,25
68,2016,AC,ARTHUR MIGUEL,24
69,2016,AC,MARIA LUIZA,24
70,2016,AC,JOSÉ MIGUEL,23
71,2016,AC,ARTHUR GABRIEL,20
72,2016,AC,LUIZ MIGUEL,20
